Círculo,Centro_X_px,Centro_Y_px,Centro_X_cm,Centro_Y_cm
1,330,735,66.0,147.0
2,300,360,60.0,72.0
3,585,255,117.0,51.0
4,420,300,84.0,60.0
5,735,615,147.0,123.0
6,705,210,141.0,42.0
7,690,390,138.0,78.0
8,720,750,144.0,150.0
9,285,510,57.0,102.0
10,405,450,81.0,90.0
11,375,600,75.0,120.0
12,780,495,156.0,99.0
13,465,690,93.0,138.0
14,570,540,114.0,108.0
15,510,120,102.0,24.0
16,600,690,120.0,138.0
17,555,390,111.0,78.0
18,375,180,75.0,36.0
